acao,valor_atual,preco_gordon,preco_fluxo,diferenca_gordon,diferenca_fluxo,margem_ebit,variacao_receita,wacc,quantidade_acoes,divida_total,caixa,outros_ativos,passivos_menos_divida,percentual_imposto
OIBR4,8.34,226787.7,165.08,27191.77,18.79,-0.4157,"{'mean_deflacionada': -0.3179668752694076, 'median_deflacionada': -0.2874934161692194, 'mean_normal': -0.28227102573029833, 'median_normal': -0.25307934817019273}",0.203,330121738.0,11954059000.0,1752816000.0,86997427000.0,24093171000.0,0.9669
OIBR3,0.61,4256.96,164.43,6977.62,268.56,-0.4157,"{'mean_deflacionada': -0.3179668752694076, 'median_deflacionada': -0.2874934161692194, 'mean_normal': -0.28227102573029833, 'median_normal': -0.25307934817019273}",0.25,330121738.0,11954059000.0,1752816000.0,86997427000.0,24093171000.0,0.9669
AMER3,5.39,68.75,17.38,11.76,2.22,-0.2008,"{'mean_deflacionada': -0.14748529842684302, 'median_deflacionada': -0.07257432020276144, 'mean_normal': -0.10322321560850105, 'median_normal': -0.027779659868554796}",0.376,200244284.0,5968000000.0,1150000000.0,10502000000.0,6527000000.0,0.2862
BBSE3,36.46,338.25,27.9,8.28,-0.23,1.7659,"{'mean_deflacionada': 0.09793298047581733, 'median_deflacionada': 0.043315868476044184, 'mean_normal': 0.1540981947436121, 'median_normal': 0.0929095595713596}",0.204,2000000000.0,0.0,5301000.0,10617040000.0,0.0,0.1796
QUAL3,1.82,13.13,1.72,6.21,-0.05,0.1881,"{'mean_deflacionada': -0.13382502246801364, 'median_deflacionada': -0.13844515730965257, 'mean_normal': -0.0897733140027575, 'median_normal': -0.09683205840770881}",2.333,284014325.0,1881851000.0,1093926000.0,2333294000.0,1182904000.0,0.1946
CRFB3,8.48,36.7,-20.2,3.33,-3.38,0.0441,"{'mean_deflacionada': 0.0918565710277981, 'median_deflacionada': 0.020581657318186286, 'mean_normal': 0.1478817160098488, 'median_normal': 0.06773252988628631}",4060225613.802,2109056711.0,41498000000.0,15208000000.0,19773000000.0,36076000000.0,0.1917
TIMS3,22.48,74.73,256.04,2.32,10.39,0.2282,"{'mean_deflacionada': 0.0678882415596515, 'median_deflacionada': 0.05808384273057898, 'mean_normal': 0.12233316228056575, 'median_normal': 0.10696731626473155}",0.033,2420804398.0,15611347000.0,5693184000.0,92588048000.0,14311328000.0,0.0488
TASA4,6.86,21.94,1.04,2.2,-0.85,0.2293,"{'mean_deflacionada': -0.1859553006691841, 'median_deflacionada': -0.12386992482525583, 'mean_normal': -0.14430270717572988, 'median_normal': -0.07314199347263817}",0.206,139297877.0,749692000.0,289851000.0,267953000.0,584594000.0,0.2491
COGN3,2.86,8.37,8.89,1.93,2.11,0.1445,"{'mean_deflacionada': 0.04968321355694113, 'median_deflacionada': 0.048385344279879394, 'mean_normal': 0.10277393659627838, 'median_normal': 0.09902235640859747}",0.202,1876606210.0,6873212000.0,1332195000.0,18476354000.0,3782053000.0,0.3315
BRAP3,15.17,43.47,22.18,1.87,0.46,0.9765,"{'mean_deflacionada': -0.4839279327296436, 'median_deflacionada': -0.5038576986047206, 'mean_normal': -0.45794485855196837, 'median_normal': -0.48093592428025866}",0.269,393096610.0,2448000.0,0.0,8155987000.0,-2448000.0,0.3
TASA3,7.41,20.37,1.24,1.75,-0.83,0.2293,"{'mean_deflacionada': -0.1859553006691841, 'median_deflacionada': -0.12386992482525583, 'mean_normal': -0.14430270717572988, 'median_normal': -0.07314199347263817}",0.199,139297877.0,749692000.0,289851000.0,267953000.0,584594000.0,0.2491
ABCB4,21.53,53.52,163.55,1.49,6.6,0.5099,"{'mean_deflacionada': 0.12311263743860201, 'median_deflacionada': 0.03210822632354815, 'mean_normal': 0.18102731637291006, 'median_normal': 0.08195905365497569}",0.709,244656857.0,40796329000.0,0.0,38265377000.0,-40796329000.0,0.0495
CLSC4,104.84,247.69,180.61,1.36,0.72,0.1069,"{'mean_deflacionada': -0.06847972177216854, 'median_deflacionada': -0.028563893211778657, 'mean_normal': -0.021565589348289078, 'median_normal': 0.018356470746092368}",0.108,38571591.0,4208985000.0,1081970000.0,4922368000.0,5157494000.0,0.186
WHRL3,4.4,10.4,-0.83,1.36,-1.19,0.0764,"{'mean_deflacionada': -0.0041256072851573915, 'median_deflacionada': 0.016903967356874494, 'mean_normal': 0.046133424676390776, 'median_normal': 0.0638849306487621}",0.284,1502786006.0,1307673000.0,2865334000.0,744309000.0,6565944000.0,0.1636
UGPA3,17.6,37.07,14.89,1.11,-0.15,0.0322,"{'mean_deflacionada': 0.02880939023290759, 'median_deflacionada': 0.010307947465931111, 'mean_normal': 0.08187310449735045, 'median_normal': 0.05910582132853559}",0.146,1115507182.0,15790778000.0,4624604000.0,10572577000.0,7943852000.0,0.1532
BRAP4,16.24,31.26,22.22,0.92,0.37,0.9765,"{'mean_deflacionada': -0.4839279327296436, 'median_deflacionada': -0.5038576986047206, 'mean_normal': -0.45794485855196837, 'median_normal': -0.48093592428025866}",0.249,393096610.0,2448000.0,0.0,8155987000.0,-2448000.0,0.3
BBAS3,22.07,33.59,145.03,0.52,5.57,0.3058,"{'mean_deflacionada': 0.07283225092978436, 'median_deflacionada': 0.07782109139080551, 'mean_normal': 0.12770535804936842, 'median_normal': 0.12987985010498138}",0.25,5730834040.0,135723112000.0,0.0,649905066000.0,-135723112000.0,0.194
ESPA3,1.11,1.47,7.27,0.32,5.55,0.1374,"{'mean_deflacionada': 0.07897911576935401, 'median_deflacionada': 0.06120967130657218, 'mean_normal': 0.1341899856978903, 'median_normal': 0.11023755812093561}",0.096,361423066.0,864804000.0,224068000.0,1225072000.0,570786000.0,0.1179
BRSR6,11.54,11.59,172.14,0.0,13.92,0.1614,"{'mean_deflacionada': 0.004612001310198048, 'median_deflacionada': 0.0015305112681469613, 'mean_normal': 0.055452614511053065, 'median_normal': 0.047801220888735285}",0.333,408974477.0,7629950000.0,0.0,66578605000.0,-7629950000.0,0.1517
YDUQ3,15.78,15.15,11.81,-0.04,-0.25,0.1545,"{'mean_deflacionada': 0.017411370180091163, 'median_deflacionada': -0.008228815296727365, 'mean_normal': 0.06894226891972959, 'median_normal': 0.03967373292444076}",0.179,274088851.0,5605972000.0,1046915000.0,4094283000.0,1193492000.0,0.3
VALE3,54.32,51.18,9.08,-0.06,-0.83,0.3858,"{'mean_deflacionada': -0.15327261308803042, 'median_deflacionada': -0.13118454102426236, 'mean_normal': -0.11058034005079498, 'median_normal': -0.08922075435573429}",0.183,4539007568.0,17672000000.0,5006000000.0,48291000000.0,27952000000.0,0.1472
BRKM5,9.3,8.78,-95.43,-0.06,-11.26,0.0037,"{'mean_deflacionada': -0.13031878320814697, 'median_deflacionada': -0.13622332062347475, 'mean_normal': -0.08603829283905311, 'median_normal': -0.08621065088757396}",0.086,796968439.0,73722000000.0,16772000000.0,7256000000.0,32131000000.0,0.3596
GOAU4,9.3,8.62,482.57,-0.07,50.89,0.1766,"{'mean_deflacionada': -0.09285982070964172, 'median_deflacionada': -0.07223264369989069, 'mean_normal': -0.046422578606704214, 'median_normal': -0.027421480390595332}",0.051,999705804.0,14917153000.0,8370848000.0,32076772000.0,13777662000.0,0.2004
USIM5,4.39,4.09,1.22,-0.07,-0.72,0.0931,"{'mean_deflacionada': -0.12791196545145708, 'median_deflacionada': -0.10711528643209112, 'mean_normal': -0.0834483197193407, 'median_normal': -0.06398895476676103}",0.139,1253079108.0,7757953000.0,5953981000.0,3230271000.0,5430149000.0,0.2438
BRKM3,9.77,8.81,-95.34,-0.1,-10.76,0.0037,"{'mean_deflacionada': -0.13031878320814697, 'median_deflacionada': -0.13622332062347475, 'mean_normal': -0.08603829283905311, 'median_normal': -0.08621065088757396}",0.085,796968439.0,73722000000.0,16772000000.0,7256000000.0,32131000000.0,0.3596
BPAN4,7.7,6.67,6.44,-0.13,-0.16,0.0897,"{'mean_deflacionada': 0.08406142305855917, 'median_deflacionada': 0.07856658722096066, 'mean_normal': 0.13944040319881812, 'median_normal': 0.1306613533837333}",0.272,1269070090.0,4980981000.0,0.0,3925344000.0,-4980981000.0,0.1835
